(1, 'Running', 'Running1', 1285, 13.22, '01:44:56', '2021-02-16 10:00:00', 'Polar Watch'),
(2, 'Hiking', 'Hiking47', 10038, 81.21, '22:45:44', '2021-05-01 15:00:00', 'Polar Watch'),
(7, 'Running', 'Running48', 254, 3.71, '00:20:46', '2021-03-14 12:00:00', 'AppleWatch'),
(2, 'Hiking', 'Hiking49', 5973, 60.52, '13:32:44', '2021-05-13 14:00:00', 'Nike Shoes'),
(13, 'Running', 'Running50', 1048, 15.49, '01:25:35', '2021-02-07 15:00:00', 'Nike Shoes'),
(7, 'Running', 'Running51', 4303, 50.92, '05:51:19', '2021-03-11 10:00:00', 'NULL'),
(14, 'Hiking', 'Hiking52', 6793, 72.77, '15:24:13', '2021-01-16 13:00:00', 'NULL'),
(1, 'Hiking', 'Hiking53', 4174, 28.95, '09:27:56', '2021-04-03 13:00:00', 'AppleWatch'),
(11, 'Cycling', 'Cycling54', 2128, 46.82, '02:24:47', '2021-03-04 10:00:00', 'Nike Shoes'),
(3, 'Hiking', 'Hiking55', 3489, 35.03, '07:54:42', '2021-02-26 14:00:00', 'Polar Watch'),
(6, 'Cycling', 'Cycling56', 7106, 168.5, '08:03:28', '2021-03-19 12:00:00', 'Asics Shoes'),
(12, 'Cycling', 'Cycling57', 4693, 82.54, '05:19:16', '2021-04-10 10:00:00', 'Asics Shoes'),
(11, 'Cycling', 'Cycling58', 3860, 55.21, '04:22:36', '2021-01-02 15:00:00', 'NULL'),
(14, 'Hiking', 'Hiking59', 6228, 65.03, '14:07:21', '2021-01-02 11:00:00', 'NULL'),
(14, 'Cycling', 'Cycling60', 2999, 42.37, '03:24:01', '2021-05-04 12:00:00', 'AppleWatch'),
(11, 'Cycling', 'Cycling61', 891, 14.77, '01:00:36', '2021-04-12 13:00:00', 'Asics Shoes'),
(12, 'Cycling', 'Cycling62', 4329, 130.05, '04:54:32', '2021-05-24 10:00:00', 'Polar Watch'),
(7, 'Cycling', 'Cycling63', 4532, 100.25, '05:08:21', '2021-04-19 15:00:00', 'Asics Shoes'),
(2, 'Running', 'Running64', 1114, 17.99, '01:30:58', '2021-01-20 10:00:00', 'NULL'),
(4, 'Hiking', 'Hiking65', 7109, 77.47, '16:07:20', '2021-05-17 14:00:00', 'Polar Watch'),
(11, 'Running', 'Running66', 298, 3.72, '00:24:21', '2021-05-16 12:00:00', 'NULL'),
(14, 'Cycling', 'Cycling67', 3185, 69.18, '03:36:40', '2021-02-27 14:00:00', 'AppleWatch'),
(13, 'Running', 'Running68', 1961, 27.38, '02:40:05', '2021-01-19 14:00:00', 'NULL'),
(3, 'Running', 'Running69', 5861, 59.07, '07:58:27', '2021-04-25 13:00:00', 'NULL'),
(6, 'Cycling', 'Cycling70', 1661, 45.49, '01:52:59', '2021-03-12 11:00:00', 'Nike Shoes'),
(4, 'Cycling', 'Cycling71', 3267, 138.06, '03:42:16', '2021-04-17 10:00:00', 'AppleWatch'),
(1, 'Cycling', 'Cycling72', 4044, 154.45, '04:35:09', '2021-01-16 11:00:00', 'NULL'),
(14, 'Hiking', 'Hiking73', 10200, 82.48, '23:07:46', '2021-02-16 12:00:00', 'AppleWatch'),
(10, 'Running', 'Running74', 3785, 44.05, '05:09:02', '2021-04-25 11:00:00', 'Asics Shoes'),
(15, 'Cycling', 'Cycling75', 1653, 64.94, '01:52:28', '2021-03-20 14:00:00', 'NULL'),
(6, 'Cycling', 'Cycling76', 4271, 151.97, '04:50:35', '2021-05-17 12:00:00', 'Asics Shoes'),
(13, 'Running', 'Running77', 2771, 34.85, '03:46:14', '2021-04-07 13:00:00', 'Nike Shoes'),
(15, 'Hiking', 'Hiking78', 7540, 61.49, '17:05:52', '2021-02-26 13:00:00', 'NULL'),
(5, 'Cycling', 'Cycling79', 6964, 99.63, '07:53:47', '2021-04-09 12:00:00', 'Asics Shoes'),
(3, 'Running', 'Running80', 2256, 20.81, '03:04:13', '2021-02-20 11:00:00', 'Polar Watch'),
(6, 'Cycling', 'Cycling81', 4588, 194.35, '05:12:07', '2021-03-20 12:00:00', 'NULL'),
(15, 'Running', 'Running82', 1148, 22.32, '01:33:45', '2021-05-22 11:00:00', 'AppleWatch'),
(9, 'Running', 'Running83', 1884, 36.06, '02:33:49', '2021-01-22 12:00:00', 'Asics Shoes'),
(14, 'Cycling', 'Cycling84', 6000, 83.88, '06:48:10', '2021-03-10 12:00:00', 'Asics Shoes'),
(4, 'Hiking', 'Hiking85', 5812, 41.65, '13:10:51', '2021-03-23 12:00:00', 'Polar Watch'),
(12, 'Hiking', 'Hiking86', 7865, 87.67, '17:50:06', '2021-04-23 11:00:00', 'AppleWatch'),
(8, 'Cycling', 'Cycling87', 1430, 30.92, '01:37:19', '2021-05-25 13:00:00', 'NULL'),
(4, 'Hiking', 'Hiking88', 10124, 71.35, '22:57:31', '2021-04-23 12:00:00', 'Polar Watch'),
(11, 'Running', 'Running89', 2278, 36.63, '03:06:00', '2021-03-05 15:00:00', 'Polar Watch'),
(10, 'Hiking', 'Hiking90', 5383, 60.68, '12:12:25', '2021-04-22 15:00:00', 'Nike Shoes'),
(1, 'Hiking', 'Hiking91', 2532, 20.93, '05:44:31', '2021-04-10 14:00:00', 'NULL'),
(9, 'Hiking', 'Hiking92', 9461, 97.97, '21:27:18', '2021-03-28 14:00:00', 'Polar Watch'),
(4, 'Running', 'Running93', 2702, 50.37, '03:40:38', '2021-01-18 14:00:00', 'Polar Watch'),
(9, 'Running', 'Running94', 1141, 14.33, '01:33:09', '2021-01-24 13:00:00', 'AppleWatch'),
(7, 'Cycling', 'Cycling95', 3285, 46.99, '03:43:31', '2021-04-05 12:00:00', 'Asics Shoes'),
(4, 'Cycling', 'Cycling96', 5078, 81.23, '05:45:29', '2021-04-24 11:00:00', 'NULL'),
(7, 'Running', 'Running97', 2782, 50.32, '03:47:09', '2021-02-18 10:00:00', 'Polar Watch'),
(2, 'Hiking', 'Hiking98', 6806, 53.93, '15:26:06', '2021-03-24 15:00:00', 'Polar Watch'),
(3, 'Running', 'Running99', 679, 7.69, '00:55:27', '2021-04-14 15:00:00', 'NULL'),
(12, 'Cycling', 'Cycling100', 404, 11.91, '00:27:32', '2021-03-12 14:00:00', 'AppleWatch'),
(8, 'Cycling', 'Cycling101', 2984, 131.01, '03:23:03', '2021-03-02 10:00:00', 'Nike Shoes'),
(14, 'Running', 'Running102', 4423, 42.11, '06:01:04', '2021-05-18 15:00:00', 'Nike Shoes'),
(9, 'Cycling', 'Cycling103', 5718, 168.87, '06:28:58', '2021-02-04 13:00:00', 'AppleWatch'),
(5, 'Cycling', 'Cycling104', 2234, 73.23, '02:32:01', '2021-03-12 10:00:00', 'NULL'),
(11, 'Running', 'Running105', 815, 16.32, '01:06:32', '2021-01-23 14:00:00', 'Polar Watch'),
(8, 'Running', 'Running106', 3754, 59.1, '05:06:28', '2021-03-19 14:00:00', 'NULL'),
(13, 'Hiking', 'Hiking107', 6268, 70.66, '14:12:48', '2021-03-21 14:00:00', 'Nike Shoes'),
(15, 'Running', 'Running108', 4221, 41.83, '05:44:36', '2021-05-14 11:00:00', 'Asics Shoes'),
(8, 'Hiking', 'Hiking109', 5659, 52.25, '12:50:00', '2021-03-12 12:00:00', 'Polar Watch'),
(15, 'Running', 'Running110', 1161, 14.25, '01:34:49', '2021-04-04 14:00:00', 'Nike Shoes'),
(9, 'Cycling', 'Cycling111', 1590, 36.74, '01:48:10', '2021-03-05 14:00:00', 'Asics Shoes'),
(4, 'Cycling', 'Cycling112', 10658, 186.19, '12:05:04', '2021-02-19 12:00:00', 'Polar Watch'),
(11, 'Cycling', 'Cycling113', 1079, 40.54, '01:13:26', '2021-04-16 11:00:00', 'Nike Shoes'),
(5, 'Hiking', 'Hiking114', 6650, 61.48, '15:04:47', '2021-05-03 11:00:00', 'Polar Watch'),
(12, 'Running', 'Running115', 59, 1.07, '00:04:53', '2021-04-09 12:00:00', 'AppleWatch'),
(15, 'Running', 'Running116', 776, 6.56, '01:03:23', '2021-01-21 14:00:00', 'AppleWatch'),
(8, 'Running', 'Running117', 2913, 53.49, '03:57:49', '2021-05-19 14:00:00', 'NULL'),
(4, 'Hiking', 'Hiking118', 7905, 73.07, '17:55:37', '2021-02-08 11:00:00', 'Polar Watch'),
(13, 'Running', 'Running119', 2679, 26.53, '03:38:42', '2021-01-04 12:00:00', 'Nike Shoes'),
(9, 'Hiking', 'Hiking120', 1301, 14.22, '02:57:07', '2021-02-18 15:00:00', 'AppleWatch'),
(7, 'Hiking', 'Hiking121', 4673, 51.37, '10:35:54', '2021-01-22 13:00:00', 'Nike Shoes'),
(11, 'Running', 'Running122', 4541, 44.52, '06:10:45', '2021-01-14 11:00:00', 'Asics Shoes'),
(15, 'Hiking', 'Hiking123', 1602, 17.3, '03:38:04', '2021-01-24 11:00:00', 'Nike Shoes'),
(1, 'Running', 'Running124', 967, 8.33, '01:18:57', '2021-02-09 10:00:00', 'Polar Watch'),
(1, 'Running', 'Running125', 2783, 40.82, '03:47:14', '2021-04-15 14:00:00', 'Asics Shoes'),
(8, 'Running', 'Running126', 4554, 58.33, '06:11:49', '2021-01-04 11:00:00', 'NULL'),
(3, 'Running', 'Running127', 85, 1.46, '00:06:59', '2021-05-19 14:00:00', 'NULL'),
(5, 'Running', 'Running128', 4876, 52.91, '06:38:03', '2021-01-15 13:00:00', 'Nike Shoes'),
(11, 'Cycling', 'Cycling129', 2633, 101.26, '02:59:07', '2021-01-15 14:00:00', 'Nike Shoes'),
(13, 'Running', 'Running130', 2759, 53.03, '03:45:17', '2021-02-28 13:00:00', 'Nike Shoes'),
(14, 'Running', 'Running131', 817, 7.68, '01:06:46', '2021-05-03 12:00:00', 'Polar Watch'),
(6, 'Hiking', 'Hiking132', 2297, 21.17, '05:12:38', '2021-03-05 12:00:00', 'Polar Watch'),
(1, 'Cycling', 'Cycling133', 3390, 75.97, '03:50:39', '2021-01-19 15:00:00', 'Asics Shoes'),
(14, 'Cycling', 'Cycling134', 2194, 55.44, '02:29:17', '2021-04-07 10:00:00', 'Polar Watch'),
(2, 'Hiking', 'Hiking135', 7073, 50.86, '16:02:22', '2021-02-16 13:00:00', 'NULL'),
(8, 'Hiking', 'Hiking136', 8877, 93.93, '20:07:48', '2021-03-10 14:00:00', 'Polar Watch'),
(9, 'Cycling', 'Cycling137', 357, 11.1, '00:24:20', '2021-05-15 12:00:00', 'NULL'),
(14, 'Hiking', 'Hiking138', 9411, 93.02, '21:20:25', '2021-03-08 14:00:00', 'Nike Shoes'),
(6, 'Running', 'Running139', 4279, 57.21, '05:49:20', '2021-04-10 11:00:00', 'Asics Shoes'),
(10, 'Running', 'Running140', 3849, 57.53, '05:14:12', '2021-04-27 15:00:00', 'Polar Watch'),
(5, 'Cycling', 'Cycling141', 909, 21.43, '01:01:52', '2021-05-13 14:00:00', 'Nike Shoes'),
(4, 'Hiking', 'Hiking142', 6328, 69.73, '14:21:03', '2021-01-11 14:00:00', 'Nike Shoes'),
(2, 'Hiking', 'Hiking143', 958, 10.83, '02:10:28', '2021-02-13 10:00:00', 'AppleWatch'),
(12, 'Cycling', 'Cycling144', 2586, 87.62, '02:55:56', '2021-02-05 10:00:00', 'NULL'),
(10, 'Cycling', 'Cycling145', 4233, 157.61, '04:47:59', '2021-03-14 14:00:00', 'NULL'),
(10, 'Running', 'Running146', 1278, 20.42, '01:44:23', '2021-03-14 13:00:00', 'Polar Watch'),
(5, 'Running', 'Running147', 246, 4.16, '00:20:08', '2021-04-14 10:00:00', 'AppleWatch'),
(3, 'Hiking', 'Hiking148', 4713, 50.04, '10:41:20', '2021-01-04 12:00:00', 'NULL'),
(14, 'Cycling', 'Cycling149', 5492, 143.78, '06:13:39', '2021-02-22 11:00:00', 'NULL'),
(12, 'Cycling', 'Cycling150', 2152, 87.41, '02:26:25', '2021-03-21 14:00:00', 'NULL'),
(4, 'Running', 'Running151', 1800, 32.1, '02:26:56', '2021-03-28 11:00:00', 'AppleWatch'),
(6, 'Cycling', 'Cycling152', 586, 23.38, '00:39:53', '2021-02-20 11:00:00', 'NULL'),
(8, 'Cycling', 'Cycling153', 6076, 183.64, '06:53:20', '2021-03-23 10:00:00', 'Nike Shoes'),
(13, 'Hiking', 'Hiking154', 3748, 29.21, '08:29:57', '2021-05-19 14:00:00', 'Polar Watch'),
(8, 'Cycling', 'Cycling155', 3651, 153.92, '04:08:23', '2021-04-28 14:00:00', 'AppleWatch'),
(1, 'Running', 'Running156', 1831, 35.42, '02:29:28', '2021-02-12 13:00:00', 'NULL'),
(10, 'Running', 'Running157', 474, 6.88, '00:38:42', '2021-05-02 13:00:00', 'NULL'),
(8, 'Hiking', 'Hiking158', 8756, 95.36, '19:51:22', '2021-04-20 13:00:00', 'Polar Watch'),
(11, 'Running', 'Running159', 4610, 56.88, '06:16:23', '2021-05-06 14:00:00', 'AppleWatch'),
(1, 'Running', 'Running160', 2452, 48.53, '03:20:09', '2021-01-03 13:00:00', 'NULL'),
(6, 'Hiking', 'Hiking161', 2214, 22.54, '05:01:18', '2021-01-20 15:00:00', 'Polar Watch'),
(11, 'Cycling', 'Cycling162', 3572, 138.28, '04:03:02', '2021-02-27 15:00:00', 'NULL'),
(6, 'Cycling', 'Cycling163', 10136, 198.49, '11:29:33', '2021-04-09 11:00:00', 'AppleWatch'),
(3, 'Cycling', 'Cycling164', 2428, 63.98, '02:45:12', '2021-04-19 13:00:00', 'NULL'),
(4, 'Running', 'Running165', 2642, 22.18, '03:35:44', '2021-05-24 15:00:00', 'Asics Shoes'),
(5, 'Hiking', 'Hiking166', 355, 3.72, '00:48:21', '2021-01-23 13:00:00', 'Asics Shoes'),
(9, 'Running', 'Running167', 1263, 23.13, '01:43:09', '2021-05-13 14:00:00', 'Polar Watch'),
(4, 'Cycling', 'Cycling168', 4042, 166.78, '04:34:59', '2021-02-15 15:00:00', 'Polar Watch'),
(7, 'Running', 'Running169', 1503, 15.71, '02:02:46', '2021-03-12 11:00:00', 'AppleWatch'),
(5, 'Cycling', 'Cycling170', 3827, 132.79, '04:20:20', '2021-04-23 11:00:00', 'NULL'),
(7, 'Running', 'Running171', 1105, 21.04, '01:30:15', '2021-02-05 10:00:00', 'NULL'),
(14, 'Cycling', 'Cycling172', 5780, 113.7, '06:33:14', '2021-05-27 10:00:00', 'Asics Shoes'),
(15, 'Running', 'Running173', 1297, 18.93, '01:45:52', '2021-04-01 12:00:00', 'Polar Watch'),
(6, 'Running', 'Running174', 4292, 40.76, '05:50:23', '2021-02-23 10:00:00', 'Asics Shoes'),
(10, 'Cycling', 'Cycling175', 556, 10.23, '00:37:49', '2021-01-28 15:00:00', 'Polar Watch'),
(1, 'Cycling', 'Cycling176', 1205, 53.71, '01:21:58', '2021-03-24 14:00:00', 'Polar Watch'),
(3, 'Running', 'Running177', 2977, 57.15, '04:03:04', '2021-04-28 11:00:00', 'NULL'),
(12, 'Cycling', 'Cycling178', 5520, 134.73, '06:15:32', '2021-05-08 14:00:00', 'NULL'),
(8, 'Cycling', 'Cycling179', 3240, 143.92, '03:40:27', '2021-03-22 12:00:00', 'Nike Shoes'),
(6, 'Cycling', 'Cycling180', 1275, 43.16, '01:26:46', '2021-05-12 10:00:00', 'NULL'),
(15, 'Hiking', 'Hiking181', 1426, 11.77, '03:14:06', '2021-03-21 14:00:00', 'NULL'),
(5, 'Cycling', 'Cycling182', 13352, 196.36, '15:08:19', '2021-03-09 10:00:00', 'Asics Shoes'),
(5, 'Running', 'Running183', 1051, 16.56, '01:25:52', '2021-04-13 13:00:00', 'NULL'),
(10, 'Running', 'Running184', 2215, 35.08, '03:00:52', '2021-02-16 14:00:00', 'NULL'),
(10, 'Hiking', 'Hiking185', 8894, 91.56, '20:10:10', '2021-03-20 10:00:00', 'Asics Shoes'),
(4, 'Hiking', 'Hiking186', 4219, 32.18, '09:34:05', '2021-03-14 12:00:00', 'Asics Shoes'),
(13, 'Cycling', 'Cycling187', 1223, 27.64, '01:23:13', '2021-03-02 14:00:00', 'Polar Watch'),
(10, 'Running', 'Running188', 6300, 59.54, '08:34:21', '2021-05-18 14:00:00', 'AppleWatch'),
(13, 'Cycling', 'Cycling189', 4818, 131.32, '05:27:46', '2021-04-01 13:00:00', 'NULL'),
(13, 'Cycling', 'Cycling190', 2527, 63.01, '02:51:56', '2021-03-16 12:00:00', 'Polar Watch'),
(2, 'Hiking', 'Hiking191', 5023, 55.25, '11:23:26', '2021-05-02 11:00:00', 'Polar Watch'),
(11, 'Cycling', 'Cycling192', 638, 27.43, '00:43:25', '2021-04-04 11:00:00', 'AppleWatch'),
(9, 'Cycling', 'Cycling193', 2243, 43.17, '02:32:35', '2021-02-23 15:00:00', 'NULL'),
(15, 'Cycling', 'Cycling194', 671, 15.4, '00:45:41', '2021-03-24 14:00:00', 'AppleWatch'),
(11, 'Running', 'Running195', 4771, 45.28, '06:29:29', '2021-05-28 12:00:00', 'Nike Shoes'),
(8, 'Cycling', 'Cycling196', 3784, 135.91, '04:17:25', '2021-05-24 11:00:00', 'Asics Shoes'),
(1, 'Running', 'Running197', 2196, 39.7, '02:59:18', '2021-05-04 10:00:00', 'Polar Watch'),
(10, 'Running', 'Running198', 2112, 18.03, '02:52:26', '2021-05-05 12:00:00', 'Nike Shoes'),
(6, 'Hiking', 'Hiking199', 10443, 101.33, '23:40:51', '2021-01-08 10:00:00', 'AppleWatch'),
(4, 'Running', 'Running200', 1086, 11.6, '01:28:43', '2021-02-09 14:00:00', 'AppleWatch'),
(6, 'Running', 'Running201', 1045, 16.9, '01:25:19', '2021-04-26 15:00:00', 'AppleWatch'),
(8, 'Cycling', 'Cycling202', 7303, 100.58, '08:16:52', '2021-02-03 11:00:00', 'Polar Watch'),
(4, 'Running', 'Running203', 1997, 29.07, '02:43:01', '2021-01-18 10:00:00', 'AppleWatch'),
(4, 'Running', 'Running204', 2370, 38.03, '03:13:31', '2021-03-16 11:00:00', 'AppleWatch'),
(7, 'Running', 'Running205', 3161, 38.69, '04:18:05', '2021-01-14 13:00:00', 'Nike Shoes'),
(15, 'Cycling', 'Cycling206', 4305, 82.95, '04:52:55', '2021-05-10 11:00:00', 'Nike Shoes'),
(7, 'Running', 'Running207', 1287, 23.0, '01:45:07', '2021-02-21 14:00:00', 'Polar Watch'),
(15, 'Running', 'Running208', 458, 4.63, '00:37:28', '2021-02-02 10:00:00', 'Polar Watch'),
(4, 'Running', 'Running209', 4986, 54.98, '06:47:01', '2021-04-16 11:00:00', 'NULL'),
(5, 'Running', 'Running210', 3132, 28.34, '04:15:43', '2021-04-03 12:00:00', 'Nike Shoes'),
(10, 'Cycling', 'Cycling211', 2279, 79.67, '02:35:02', '2021-04-23 14:00:00', 'Asics Shoes'),
(3, 'Running', 'Running212', 1569, 30.65, '02:08:08', '2021-04-16 10:00:00', 'Nike Shoes'),
(14, 'Cycling', 'Cycling213', 3629, 113.64, '04:06:55', '2021-05-28 11:00:00', 'Asics Shoes'),
(7, 'Running', 'Running214', 3660, 52.46, '04:58:48', '2021-03-20 15:00:00', 'Polar Watch'),
(9, 'Running', 'Running215', 3290, 50.37, '04:28:38', '2021-03-03 15:00:00', 'NULL'),
(8, 'Running', 'Running216', 6410, 57.79, '08:43:17', '2021-02-03 15:00:00', 'Nike Shoes'),
(7, 'Cycling', 'Cycling217', 4564, 164.55, '05:10:29', '2021-04-05 12:00:00', 'Nike Shoes'),
(11, 'Hiking', 'Hiking218', 9729, 88.91, '22:03:47', '2021-03-21 11:00:00', 'Polar Watch'),
(10, 'Hiking', 'Hiking219', 10487, 74.04, '23:46:48', '2021-05-25 11:00:00', 'Polar Watch'),
(8, 'Hiking', 'Hiking220', 7951, 73.93, '18:01:51', '2021-02-20 11:00:00', 'NULL'),
(13, 'Cycling', 'Cycling221', 388, 15.72, '00:26:27', '2021-05-12 10:00:00', 'Polar Watch'),
(6, 'Hiking', 'Hiking222', 7784, 75.54, '17:39:03', '2021-02-19 11:00:00', 'Asics Shoes'),
(13, 'Running', 'Running223', 1728, 17.65, '02:21:05', '2021-01-27 15:00:00', 'AppleWatch'),
(14, 'Cycling', 'Cycling224', 2619, 70.21, '02:58:12', '2021-03-18 11:00:00', 'Asics Shoes'),
(10, 'Cycling', 'Cycling225', 3924, 125.45, '04:26:57', '2021-05-22 11:00:00', 'Nike Shoes'),
(15, 'Running', 'Running226', 5921, 55.57, '08:03:21', '2021-03-21 14:00:00', 'NULL'),
(15, 'Cycling', 'Cycling227', 3871, 156.18, '04:23:21', '2021-04-25 15:00:00', 'Asics Shoes'),
(11, 'Cycling', 'Cycling228', 8475, 175.92, '09:36:32', '2021-02-10 10:00:00', 'Nike Shoes'),
(10, 'Cycling', 'Cycling229', 921, 32.55, '01:02:43', '2021-01-10 14:00:00', 'Polar Watch'),
(13, 'Cycling', 'Cycling230', 4210, 154.23, '04:46:26', '2021-01-26 12:00:00', 'NULL'),
(3, 'Cycling', 'Cycling231', 5860, 110.52, '06:38:42', '2021-01-15 11:00:00', 'Polar Watch'),
(5, 'Running', 'Running232', 538, 7.73, '00:43:59', '2021-05-13 14:00:00', 'AppleWatch'),
(14, 'Running', 'Running233', 3869, 46.18, '05:15:53', '2021-01-26 11:00:00', 'Nike Shoes'),
(1, 'Hiking', 'Hiking234', 2684, 29.32, '06:05:14', '2021-01-10 15:00:00', 'Polar Watch'),
(13, 'Hiking', 'Hiking235', 5725, 50.67, '12:58:56', '2021-03-12 13:00:00', 'Polar Watch'),
(15, 'Hiking', 'Hiking236', 3678, 27.7, '08:20:25', '2021-01-19 12:00:00', 'AppleWatch'),
(5, 'Running', 'Running237', 2087, 33.05, '02:50:23', '2021-05-06 14:00:00', 'Nike Shoes'),
(9, 'Cycling', 'Cycling238', 4965, 155.84, '05:37:47', '2021-05-07 10:00:00', 'Asics Shoes'),
(12, 'Cycling', 'Cycling239', 3603, 74.37, '04:05:06', '2021-04-18 14:00:00', 'Nike Shoes'),
(4, 'Running', 'Running240', 1435, 18.32, '01:57:11', '2021-04-28 15:00:00', 'Nike Shoes'),
(12, 'Hiking', 'Hiking241', 2022, 18.19, '04:35:06', '2021-01-23 10:00:00', 'Asics Shoes'),
(7, 'Running', 'Running242', 3588, 38.22, '04:52:55', '2021-01-13 11:00:00', 'AppleWatch'),
(14, 'Cycling', 'Cycling243', 4510, 172.88, '05:06:50', '2021-01-24 13:00:00', 'AppleWatch'),
(8, 'Hiking', 'Hiking244', 2268, 19.19, '05:08:40', '2021-02-23 10:00:00', 'NULL'),
